citizenship,date,encounter_count,country_of_entry
BELARUS,2024-06-01,0,MEXICO
BOSNIA & HERZEGOVINA,2024-06-01,0,MEXICO
CZECHIA,2024-06-01,0,MEXICO
DENMARK,2024-06-01,0,MEXICO
SLOVAKIA,2024-06-01,0,MEXICO
SLOVENIA,2024-06-01,0,MEXICO
SPAIN,2024-06-01,4,MEXICO
FINLAND,2024-06-01,0,MEXICO
FRANCE,2024-06-01,3,MEXICO
GREECE,2024-06-01,0,MEXICO
HUNGARY,2024-06-01,0,MEXICO
ITALY,2024-06-01,3,MEXICO
LATVIA,2024-06-01,0,MEXICO
MALTA,2024-06-01,0,MEXICO
MOLDOVA,2024-06-01,5,MEXICO
NETHERLANDS,2024-06-01,2,MEXICO
POLAND,2024-06-01,0,MEXICO
PORTUGAL,2024-06-01,2,MEXICO
UNITED KINGDOM,2024-06-01,3,MEXICO
ROMANIA,2024-06-01,0,MEXICO
RUSSIA,2024-06-01,24,MEXICO
SERBIA,2024-06-01,0,MEXICO
SWEDEN,2024-06-01,0,MEXICO
UKRAINE,2024-06-01,3,MEXICO
AFGHANISTAN,2024-06-01,261,MEXICO
SAUDI ARABIA,2024-06-01,0,MEXICO
ARMENIA,2024-06-01,24,MEXICO
AZERBAIJAN,2024-06-01,60,MEXICO
BANGLADESH,2024-06-01,396,MEXICO
CAMBODIA,2024-06-01,0,MEXICO
CHINA,2024-06-01,1405,MEXICO
NA,2024-06-01,5,MEXICO
SOUTH KOREA,2024-06-01,0,MEXICO
PHILIPPINES,2024-06-01,0,MEXICO
GEORGIA,2024-06-01,196,MEXICO
INDIA,2024-06-01,1455,MEXICO
INDONESIA,2024-06-01,0,MEXICO
IRAQ,2024-06-01,3,MEXICO
IRAN,2024-06-01,79,MEXICO
ISRAEL,2024-06-01,17,MEXICO
JAPAN,2024-06-01,13,MEXICO
JORDAN,2024-06-01,532,MEXICO
KAZAKHSTAN,2024-06-01,152,MEXICO
KYRGYZSTAN,2024-06-01,100,MEXICO
LEBANON,2024-06-01,1,MEXICO
MALAYSIA,2024-06-01,0,MEXICO
MYANMAR (BURMA),2024-06-01,0,MEXICO
MONGOLIA,2024-06-01,0,MEXICO
NEPAL,2024-06-01,180,MEXICO
PAKISTAN,2024-06-01,64,MEXICO
PALESTINIAN TERRITORIES,2024-06-01,5,MEXICO
SINGAPORE,2024-06-01,0,MEXICO
SYRIA,2024-06-01,24,MEXICO
SRI LANKA,2024-06-01,19,MEXICO
THAILAND,2024-06-01,0,MEXICO
TAIWAN,2024-06-01,0,MEXICO
TAJIKISTAN,2024-06-01,19,MEXICO
TURKMENISTAN,2024-06-01,2,MEXICO
TURKEY,2024-06-01,469,MEXICO
UZBEKISTAN,2024-06-01,241,MEXICO
VIETNAM,2024-06-01,90,MEXICO
YEMEN,2024-06-01,12,MEXICO
AUSTRALIA,2024-06-01,4,MEXICO
OTHER,2024-06-01,0,MEXICO
NEW ZEALAND,2024-06-01,0,MEXICO
TONGA,2024-06-01,0,MEXICO
VANUATU,2024-06-01,1,MEXICO
ANGOLA,2024-06-01,354,MEXICO
ALGERIA,2024-06-01,0,MEXICO
BENIN,2024-06-01,17,MEXICO
BURKINA FASO,2024-06-01,62,MEXICO
BURUNDI,2024-06-01,0,MEXICO
CAPE VERDE,2024-06-01,0,MEXICO
CAMEROON,2024-06-01,178,MEXICO
CHAD,2024-06-01,142,MEXICO
COMOROS,2024-06-01,0,MEXICO
CONGO - KINSHASA,2024-06-01,146,MEXICO
CÔTE D’IVOIRE,2024-06-01,1,MEXICO
DJIBOUTI,2024-06-01,5,MEXICO
EGYPT,2024-06-01,254,MEXICO
ERITREA,2024-06-01,137,MEXICO
ETHIOPIA,2024-06-01,83,MEXICO
GABON,2024-06-01,0,MEXICO
GAMBIA,2024-06-01,66,MEXICO
GHANA,2024-06-01,472,MEXICO
GUINEA,2024-06-01,529,MEXICO
GUINEA-BISSAU,2024-06-01,6,MEXICO
EQUATORIAL GUINEA,2024-06-01,3,MEXICO
KENYA,2024-06-01,0,MEXICO
LIBERIA,2024-06-01,0,MEXICO
LIBYA,2024-06-01,10,MEXICO
MADAGASCAR,2024-06-01,0,MEXICO
MALI,2024-06-01,31,MEXICO
MOROCCO,2024-06-01,97,MEXICO
MAURITANIA,2024-06-01,1094,MEXICO
MOZAMBIQUE,2024-06-01,2,MEXICO
NAMIBIA,2024-06-01,0,MEXICO
NIGER,2024-06-01,2,MEXICO
NIGERIA,2024-06-01,157,MEXICO
RWANDA,2024-06-01,5,MEXICO
SENEGAL,2024-06-01,581,MEXICO
SIERRA LEONE,2024-06-01,33,MEXICO
SOMALIA,2024-06-01,113,MEXICO
SOUTH AFRICA,2024-06-01,2,MEXICO
SUDAN,2024-06-01,33,MEXICO
TANZANIA,2024-06-01,1,MEXICO
TOGO,2024-06-01,185,MEXICO
TUNISIA,2024-06-01,2,MEXICO
UGANDA,2024-06-01,7,MEXICO
ZAMBIA,2024-06-01,0,MEXICO
ZIMBABWE,2024-06-01,16,MEXICO
STATELESS,2024-06-01,0,MEXICO
CANADA,2024-05-01,2,MEXICO
UNITED STATES,2024-05-01,214,MEXICO
BELIZE,2024-05-01,1083,MEXICO
COSTA RICA,2024-05-01,442,MEXICO
EL SALVADOR,2024-05-01,8680,MEXICO
GUATEMALA,2024-05-01,7193,MEXICO
HONDURAS,2024-05-01,8159,MEXICO
NICARAGUA,2024-05-01,7684,MEXICO
PANAMA,2024-05-01,1283,MEXICO
BAHAMAS,2024-05-01,1,MEXICO
CUBA,2024-05-01,5507,MEXICO
DOMINICAN REPUBLIC,2024-05-01,2797,MEXICO
HAITI,2024-05-01,4315,MEXICO
JAMAICA,2024-05-01,352,MEXICO
TRINIDAD & TOBAGO,2024-05-01,0,MEXICO
ARGENTINA,2024-05-01,121,MEXICO
BOLIVIA,2024-05-01,1476,MEXICO
BRAZIL,2024-05-01,1898,MEXICO
CHILE,2024-05-01,1913,MEXICO
COLOMBIA,2024-05-01,6121,MEXICO
ECUADOR,2024-05-01,14158,MEXICO
FRENCH GUIANA,2024-05-01,1,MEXICO
GUYANA,2024-05-01,18,MEXICO
PARAGUAY,2024-05-01,167,MEXICO
PERU,2024-05-01,4404,MEXICO
SURINAME,2024-05-01,2,MEXICO
URUGUAY,2024-05-01,165,MEXICO
VENEZUELA,2024-05-01,37859,MEXICO
ALBANIA,2024-05-01,0,MEXICO
GERMANY,2024-05-01,0,MEXICO
ANDORRA,2024-05-01,0,MEXICO
AUSTRIA,2024-05-01,0,MEXICO
BELGIUM,2024-05-01,0,MEXICO
BELARUS,2024-05-01,0,MEXICO
BOSNIA & HERZEGOVINA,2024-05-01,0,MEXICO
CZECHIA,2024-05-01,1,MEXICO
DENMARK,2024-05-01,0,MEXICO
SLOVAKIA,2024-05-01,0,MEXICO
SLOVENIA,2024-05-01,0,MEXICO
SPAIN,2024-05-01,0,MEXICO
FINLAND,2024-05-01,0,MEXICO
FRANCE,2024-05-01,9,MEXICO
GREECE,2024-05-01,0,MEXICO
HUNGARY,2024-05-01,0,MEXICO
ITALY,2024-05-01,2,MEXICO
LATVIA,2024-05-01,0,MEXICO
MALTA,2024-05-01,0,MEXICO
MOLDOVA,2024-05-01,0,MEXICO
NETHERLANDS,2024-05-01,1,MEXICO
POLAND,2024-05-01,0,MEXICO
PORTUGAL,2024-05-01,1,MEXICO
UNITED KINGDOM,2024-05-01,1,MEXICO
ROMANIA,2024-05-01,0,MEXICO
RUSSIA,2024-05-01,40,MEXICO
SERBIA,2024-05-01,0,MEXICO
SWEDEN,2024-05-01,0,MEXICO
UKRAINE,2024-05-01,4,MEXICO
AFGHANISTAN,2024-05-01,200,MEXICO
SAUDI ARABIA,2024-05-01,0,MEXICO
ARMENIA,2024-05-01,5,MEXICO
AZERBAIJAN,2024-05-01,8,MEXICO
BANGLADESH,2024-05-01,438,MEXICO
CAMBODIA,2024-05-01,0,MEXICO
CHINA,2024-05-01,1676,MEXICO
NA,2024-05-01,5,MEXICO
SOUTH KOREA,2024-05-01,10,MEXICO
PHILIPPINES,2024-05-01,24,MEXICO
GEORGIA,2024-05-01,169,MEXICO
INDIA,2024-05-01,1595,MEXICO
INDONESIA,2024-05-01,0,MEXICO
IRAQ,2024-05-01,0,MEXICO
IRAN,2024-05-01,90,MEXICO
ISRAEL,2024-05-01,0,MEXICO
JAPAN,2024-05-01,68,MEXICO
JORDAN,2024-05-01,528,MEXICO
KAZAKHSTAN,2024-05-01,149,MEXICO
KYRGYZSTAN,2024-05-01,93,MEXICO
LEBANON,2024-05-01,3,MEXICO
MALAYSIA,2024-05-01,0,MEXICO
MYANMAR (BURMA),2024-05-01,0,MEXICO
MONGOLIA,2024-05-01,8,MEXICO
NEPAL,2024-05-01,134,MEXICO
PAKISTAN,2024-05-01,18,MEXICO
PALESTINIAN TERRITORIES,2024-05-01,2,MEXICO
SINGAPORE,2024-05-01,0,MEXICO
SYRIA,2024-05-01,39,MEXICO
SRI LANKA,2024-05-01,6,MEXICO
THAILAND,2024-05-01,0,MEXICO
TAIWAN,2024-05-01,0,MEXICO
TAJIKISTAN,2024-05-01,22,MEXICO
TURKMENISTAN,2024-05-01,0,MEXICO
TURKEY,2024-05-01,403,MEXICO
UZBEKISTAN,2024-05-01,229,MEXICO
VIETNAM,2024-05-01,248,MEXICO
YEMEN,2024-05-01,10,MEXICO
AUSTRALIA,2024-05-01,4,MEXICO
OTHER,2024-05-01,1,MEXICO
NEW ZEALAND,2024-05-01,0,MEXICO
TONGA,2024-05-01,0,MEXICO
VANUATU,2024-05-01,0,MEXICO
ANGOLA,2024-05-01,395,MEXICO
ALGERIA,2024-05-01,1,MEXICO
BENIN,2024-05-01,23,MEXICO
BURKINA FASO,2024-05-01,42,MEXICO
BURUNDI,2024-05-01,0,MEXICO
CAPE VERDE,2024-05-01,0,MEXICO
CAMEROON,2024-05-01,217,MEXICO
CHAD,2024-05-01,195,MEXICO
COMOROS,2024-05-01,1,MEXICO
CONGO - KINSHASA,2024-05-01,107,MEXICO
CÔTE D’IVOIRE,2024-05-01,0,MEXICO
DJIBOUTI,2024-05-01,0,MEXICO
EGYPT,2024-05-01,178,MEXICO
ERITREA,2024-05-01,116,MEXICO
ETHIOPIA,2024-05-01,154,MEXICO
GABON,2024-05-01,0,MEXICO
GAMBIA,2024-05-01,15,MEXICO
GHANA,2024-05-01,221,MEXICO
GUINEA,2024-05-01,300,MEXICO
GUINEA-BISSAU,2024-05-01,4,MEXICO
EQUATORIAL GUINEA,2024-05-01,2,MEXICO
KENYA,2024-05-01,1,MEXICO
LIBERIA,2024-05-01,0,MEXICO
LIBYA,2024-05-01,0,MEXICO
MADAGASCAR,2024-05-01,0,MEXICO
MALI,2024-05-01,12,MEXICO
MOROCCO,2024-05-01,100,MEXICO
MAURITANIA,2024-05-01,550,MEXICO
MOZAMBIQUE,2024-05-01,1,MEXICO
NAMIBIA,2024-05-01,2,MEXICO
NIGER,2024-05-01,1,MEXICO
NIGERIA,2024-05-01,98,MEXICO
RWANDA,2024-05-01,2,MEXICO
SENEGAL,2024-05-01,217,MEXICO
SIERRA LEONE,2024-05-01,26,MEXICO
SOMALIA,2024-05-01,61,MEXICO
SOUTH AFRICA,2024-05-01,13,MEXICO
SUDAN,2024-05-01,27,MEXICO
TANZANIA,2024-05-01,7,MEXICO
TOGO,2024-05-01,135,MEXICO
TUNISIA,2024-05-01,1,MEXICO
UGANDA,2024-05-01,1,MEXICO
ZAMBIA,2024-05-01,0,MEXICO
ZIMBABWE,2024-05-01,11,MEXICO
STATELESS,2024-05-01,8,MEXICO
CANADA,2024-04-01,6,MEXICO
UNITED STATES,2024-04-01,134,MEXICO
BELIZE,2024-04-01,727,MEXICO
COSTA RICA,2024-04-01,300,MEXICO
EL SALVADOR,2024-04-01,7225,MEXICO
GUATEMALA,2024-04-01,6565,MEXICO
HONDURAS,2024-04-01,7910,MEXICO
NICARAGUA,2024-04-01,5778,MEXICO
PANAMA,2024-04-01,849,MEXICO
BAHAMAS,2024-04-01,0,MEXICO
CUBA,2024-04-01,3638,MEXICO
DOMINICAN REPUBLIC,2024-04-01,1458,MEXICO
HAITI,2024-04-01,5709,MEXICO
JAMAICA,2024-04-01,78,MEXICO
TRINIDAD & TOBAGO,2024-04-01,4,MEXICO
ARGENTINA,2024-04-01,50,MEXICO
BOLIVIA,2024-04-01,811,MEXICO
BRAZIL,2024-04-01,1717,MEXICO
CHILE,2024-04-01,957,MEXICO
COLOMBIA,2024-04-01,9283,MEXICO
ECUADOR,2024-04-01,11613,MEXICO
FRENCH GUIANA,2024-04-01,0,MEXICO
GUYANA,2024-04-01,3,MEXICO
PARAGUAY,2024-04-01,303,MEXICO
PERU,2024-04-01,4257,MEXICO
SURINAME,2024-04-01,1,MEXICO
URUGUAY,2024-04-01,85,MEXICO
VENEZUELA,2024-04-01,36676,MEXICO
ALBANIA,2024-04-01,8,MEXICO
GERMANY,2024-04-01,6,MEXICO
ANDORRA,2024-04-01,0,MEXICO
AUSTRIA,2024-04-01,1,MEXICO
BELGIUM,2024-04-01,1,MEXICO
